,abbrev_symbol,board_type,de_listed_date,exchange,industry_code,industry_name,listed_date,order_book_id,round_lot,sector_code,sector_code_name,special_type,status,symbol,type
1724,ZHDC,MainBoard,0000-00-00,XSHE,K70,房地产业,1994-09-28,000043.XSHE,100.0,Financials,金融,Normal,Active,中航地产,CS
1725,SLS,MainBoard,0000-00-00,XSHG,F51,批发业,2016-10-31,603716.XSHG,100.0,HealthCare,医疗保健,Normal,Active,塞力斯,CS
1726,SDT,MainBoard,0000-00-00,XSHE,L72,商务服务业,1994-08-08,000038.XSHE,100.0,Industrials,工业,Normal,Active,深大通,CS
1727,JSSP,MainBoard,0000-00-00,XSHG,C26,化学原料及化学制品制造业,1996-09-18,600746.XSHG,100.0,Materials,原材料,Normal,Active,江苏索普,CS
1728,JXCZ,MainBoard,0000-00-00,XSHG,C37,铁路、船舶、航空航天和其它运输设备制造业,2004-05-26,600495.XSHG,100.0,Industrials,工业,Normal,Active,晋西车轴,CS
1729,SYHG,MainBoard,0000-00-00,XSHG,C26,化学原料及化学制品制造业,2003-06-18,600409.XSHG,100.0,Materials,原材料,Normal,Active,三友化工,CS
1730,CYHB,MainBoard,0000-00-00,XSHG,D46,水的生产和供应业,1995-06-30,600874.XSHG,100.0,Utilities,公用事业,Normal,Active,创业环保,CS
1731,*STHR,MainBoard,0000-00-00,XSHG,C39,计算机、通信和其他电子设备制造业,2003-09-24,600401.XSHG,100.0,InformationTechnology,信息技术,StarST,Active,*ST海润,CS
1732,HGK,MainBoard,0000-00-00,XSHG,C13,农副食品加工业,1997-07-08,600095.XSHG,100.0,Industrials,工业,Normal,Active,哈高科,CS
1733,WSGF,GEM,0000-00-00,XSHE,A03,畜牧业,2015-11-02,300498.XSHE,100.0,ConsumerStaples,必需消费品,Normal,Active,温氏股份,CS
1734,BCZY,MainBoard,0000-00-00,XSHG,C27,医药制造业,2016-11-18,603858.XSHG,100.0,HealthCare,医疗保健,Normal,Active,步长制药,CS
1735,CYGF,MainBoard,0000-00-00,XSHG,C40,仪器仪表制造业,2014-08-05,603100.XSHG,100.0,InformationTechnology,信息技术,Normal,Active,川仪股份,CS
